"CRASH DATE","CRASH TIME","BOROUGH","ZIP CODE","LATITUDE","LONGITUDE","LOCATION","ON STREET NAME","CROSS STREET NAME","OFF STREET NAME","NUMBER OF PERSONS INJURED","NUMBER OF PERSONS KILLED","NUMBER OF PEDESTRIANS INJURED","NUMBER OF PEDESTRIANS KILLED","NUMBER OF CYCLIST INJURED","NUMBER OF CYCLIST KILLED","NUMBER OF MOTORIST INJURED","NUMBER OF MOTORIST KILLED","CONTRIBUTING FACTOR VEHICLE 1","CONTRIBUTING FACTOR VEHICLE 2","CONTRIBUTING FACTOR VEHICLE 3","CONTRIBUTING FACTOR VEHICLE 4","CONTRIBUTING FACTOR VEHICLE 5","COLLISION_ID","VEHICLE TYPE CODE 1","VEHICLE TYPE CODE 2","VEHICLE TYPE CODE 3","VEHICLE TYPE CODE 4","VEHICLE TYPE CODE 5"
2024-09-13,14:20:00,NA,NA,NA,NA,NA,"BRONX WHITESTONE BRIDGE",NA,NA,0,0,0,0,0,0,0,0,"Passing or Lane Usage Improper","Failure to Yield Right-of-Way",NA,NA,NA,4761583,"Sedan","Pick-up Truck",NA,NA,NA
2024-10-05,12:40:00,NA,NA,40.64254,-73.87652,"(40.64254, -73.87652)","BELT PARKWAY",NA,NA,2,0,0,0,1,0,0,0,"Unspecified","Unspecified",NA,NA,NA,4761266,"Bike","E-Bike",NA,NA,NA
2024-10-05,13:43:00,NA,NA,NA,NA,NA,"MENAHAN STREET",NA,NA,0,0,0,0,0,0,0,0,"Driver Inattention/Distraction","Unspecified",NA,NA,NA,4761112,"Station Wagon/Sport Utility Vehicle",NA,NA,NA,NA
2024-10-04,06:05:00,NA,NA,NA,NA,NA,"WESTCHESTER SQUARE",NA,NA,1,0,1,0,0,0,0,0,"Driver Inattention/Distraction",NA,NA,NA,NA,4761546,"Sedan",NA,NA,NA,NA
2024-09-21,01:32:00,NA,NA,40.747974,-73.75999,"(40.747974, -73.75999)","LONG ISLAND EXPRESSWAY",NA,NA,0,0,0,0,0,0,0,0,"Passing or Lane Usage Improper","Unspecified",NA,NA,NA,4757494,"Station Wagon/Sport Utility Vehicle",NA,NA,NA,NA
2024-09-20,12:36:00,NA,NA,NA,NA,NA,"LONG ISLAND EXPRESSWAY","SPRINGFIELD BOULEVARD",NA,3,0,0,0,0,0,3,0,"Unspecified",NA,NA,NA,NA,4758163,"Station Wagon/Sport Utility Vehicle",NA,NA,NA,NA
2024-09-21,10:27:00,NA,NA,NA,NA,NA,"GRAND CENTRAL PARKWAY","168 STREET",NA,2,0,0,0,0,0,2,0,"Driver Inattention/Distraction","Unsafe Lane Changing",NA,NA,NA,4757528,"Station Wagon/Sport Utility Vehicle","Station Wagon/Sport Utility Vehicle",NA,NA,NA
2024-09-23,16:00:00,NA,NA,NA,NA,NA,"20 AVENUE",NA,NA,0,0,0,0,0,0,0,0,"Passing or Lane Usage Improper","Unspecified",NA,NA,NA,4758307,"Station Wagon/Sport Utility Vehicle","Sedan",NA,NA,NA
2024-08-30,00:00:00,NA,NA,NA,NA,NA,"BRONX WHITESTONE BRIDGE",NA,NA,1,0,0,0,0,0,1,0,"Driver Inexperience","Unspecified",NA,NA,NA,4758805,"Station Wagon/Sport Utility Vehicle","Station Wagon/Sport Utility Vehicle",NA,NA,NA
2024-09-28,11:43:00,NA,NA,NA,NA,NA,"DOUGLASTON PARKWAY","LONG ISLAND EXPRESSWAY",NA,4,0,0,0,0,0,4,0,"Unspecified","Unspecified",NA,NA,NA,4759303,"Tractor Truck Diesel","Station Wagon/Sport Utility Vehicle",NA,NA,NA
2024-09-14,16:52:00,NA,NA,NA,NA,NA,NA,NA,"85        EAST DRIVE",2,0,0,0,0,0,2,0,"Driver Inattention/Distraction",NA,NA,NA,NA,4758732,"Station Wagon/Sport Utility Vehicle",NA,NA,NA,NA
2024-09-22,12:09:00,NA,NA,NA,NA,NA,"TRIBOROUGH BRIDGE",NA,NA,0,0,0,0,0,0,0,0,"Following Too Closely","Unspecified",NA,NA,NA,4758657,"subn","subn",NA,NA,NA
2024-09-22,14:37:00,NA,NA,NA,NA,NA,"FLUSHING AVENUE",NA,NA,1,0,0,0,1,0,0,0,"Unspecified","Unspecified",NA,NA,NA,4758675,"Station Wagon/Sport Utility Vehicle","Bike",NA,NA,NA
2024-02-02,08:40:00,NA,NA,40.651268,-73.97181,"(40.651268, -73.97181)","PARK CIRCLE",NA,NA,0,0,0,0,0,0,0,0,"Unspecified",NA,NA,NA,NA,4699637,"Sedan",NA,NA,NA,NA
