"UNIQUE_ID","COLLISION_ID","CRASH_DATE","CRASH_TIME","PERSON_ID","PERSON_TYPE","PERSON_INJURY","VEHICLE_ID","PERSON_AGE","EJECTION","EMOTIONAL_STATUS","BODILY_INJURY","POSITION_IN_VEHICLE","SAFETY_EQUIPMENT","PED_LOCATION","PED_ACTION","COMPLAINT","PED_ROLE","CONTRIBUTING_FACTOR_1","CONTRIBUTING_FACTOR_2","PERSON_SEX"
6829351,3635147,2017-03-20,02:15:00,"67e95712-3ba0-4899-96a5-89c7a8b11059","Occupant","Injured",17459390,31,"Not Ejected","Conscious","Entire Body","Left rear passenger, or rear passenger on a bicycle, motorcycle, snowmobile","Unknown",NA,NA,"Complaint of Pain","Passenger",NA,NA,"M"
8973791,4060293,2019-01-16,14:50:00,"fd43bce5-9b80-4aef-8ba2-377507ba9d62","Occupant","Unspecified",18509674,21,"Not Ejected","Does Not Apply","Does Not Apply","Driver","Unknown",NA,NA,"Does Not Apply","Driver",NA,NA,"M"
11204201,4260334,2019-12-13,17:00:00,"a72d3070-c2e3-4d4a-9665-d8363c40edb0","Occupant","Unspecified",19634831,59,NA,NA,NA,NA,NA,NA,NA,NA,"Registrant",NA,NA,"F"
9438107,3966643,2018-08-22,12:59:00,"0071bab5-6900-4a88-882a-fc8e169a8817","Occupant","Unspecified",18738233,44,"Not Ejected","Does Not Apply","Does Not Apply","Driver","Lap Belt & Harness",NA,NA,"Does Not Apply","Driver",NA,NA,"M"
7326766,3835679,2018-01-16,07:00:00,"9fa21e6c-0383-4345-a9be-e69e012722b0","Occupant","Unspecified",17698915,53,"Not Ejected","Does Not Apply","Does Not Apply","Unknown","Unknown",NA,NA,"Does Not Apply","Driver",NA,NA,"M"
13817624,4878826,2026-02-12,22:10:00,"ede44fd4-28a4-409f-a361-10d43b4606d4","Occupant","Unspecified",21134524,41,"Not Ejected","Does Not Apply","Does Not Apply","Driver","None",NA,NA,"Does Not Apply","Driver",NA,NA,"M"
11399431,4344298,2020-09-02,12:10:00,"b1e9a552-e371-424a-961b-c4d7dcfdbbc9","Occupant","Unspecified",19741622,63,"Not Ejected","Does Not Apply","Does Not Apply","Driver","Lap Belt & Harness",NA,NA,"Does Not Apply","Driver",NA,NA,"M"
12226652,4530002,2022-05-17,04:43:00,"e6e2c838-ba53-42c1-9f9e-571629fca903","Occupant","Unspecified",20222463,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Registrant",NA,NA,NA
7709265,3808733,2017-12-12,20:52:00,"bd67fb4f-76cd-429d-9bca-682750bdb018","Occupant","Unspecified",17886714,22,"Not Ejected","Does Not Apply","Does Not Apply","Right rear passenger or motorcycle sidecar passenger","Lap Belt & Harness",NA,NA,"Does Not Apply","Passenger",NA,NA,"M"
6480249,3490752,2016-07-30,14:10:00,"2886061","Occupant","Unspecified",17292141,25,NA,NA,NA,NA,NA,NA,NA,NA,"Registrant",NA,NA,"M"
13046935,4739777,2024-07-12,08:05:00,"b8125882-74b6-4ccf-99b6-df526cda5137","Occupant","Unspecified",20689384,24,"Not Ejected","Does Not Apply","Does Not Apply","Driver","Unknown",NA,NA,"Does Not Apply","Driver",NA,NA,"M"
12826365,4685646,2023-12-08,14:00:00,"a2479448-3445-4e10-97e9-58d49f3247b5","Occupant","Unspecified",20564391,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Registrant",NA,NA,NA
2290160,3343976,2015-11-29,04:00:00,"2","Occupant","Injured",14960057,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6521425,3502635,2016-08-17,16:50:00,"1618570","Occupant","Unspecified",17311780,0,NA,NA,NA,NA,NA,NA,NA,NA,"Registrant",NA,NA,"F"
9897418,4147870,2019-06-08,19:30:00,"d99706c0-a96f-4c9f-8548-46ac6ce4e2a3","Occupant","Unspecified",18965332,33,"Not Ejected","Does Not Apply","Does Not Apply","Driver","Unknown",NA,NA,"Does Not Apply","Driver",NA,NA,"M"
7716048,3752683,2017-09-16,23:20:00,"f3aac679-77b8-461c-a431-5f8d13624f76","Occupant","Unspecified",17889997,27,"Not Ejected","Does Not Apply","Does Not Apply","Driver","Lap Belt & Harness",NA,NA,"Does Not Apply","Driver",NA,NA,"M"
1936218,210860,2013-05-19,15:30:00,"2","Occupant","Injured",12544365,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11603665,4398120,2021-03-11,10:13:00,"38084f1a-e06a-4920-97ad-1b51bb98e3eb","Occupant","Unspecified",19861216,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Registrant",NA,NA,"U"
5955345,3450683,2016-05-27,07:00:00,"782340","Occupant","Unspecified",17043549,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Registrant",NA,NA,"M"
